index,status,latency_ms,retries
5,404,5.692005157470703,0
2,404,6.210088729858398,0
8,404,6.13713264465332,0
6,404,6.387948989868164,0
3,404,6.7081451416015625,0
7,404,6.91986083984375,0
4,404,7.201910018920898,0
1,404,7.580995559692383,0
9,404,1.5349388122558594,0
10,404,1.4719963073730469,0
11,404,1.3949871063232422,0
12,404,1.4262199401855469,0
13,404,1.4188289642333984,0
14,404,1.3461112976074219,0
15,404,1.3301372528076172,0
16,404,1.2900829315185547,0
17,404,1.3010501861572266,0
18,404,1.3079643249511719,0
19,404,1.4252662658691406,0
20,404,1.3349056243896484,0
21,404,1.3208389282226562,0
22,404,1.2822151184082031,0
23,404,1.3229846954345703,0
24,404,1.2950897216796875,0
25,404,1.3060569763183594,0
26,404,1.4090538024902344,0
27,404,1.4030933380126953,0
28,404,1.3828277587890625,0
29,404,1.8248558044433594,0
30,404,1.7011165618896484,0
31,404,1.6930103302001953,0
32,404,1.6829967498779297,0
33,404,1.878976821899414,0
34,404,1.6372203826904297,0
35,404,1.6531944274902344,0
36,404,1.6021728515625,0
37,404,1.3661384582519531,0
38,404,1.3399124145507812,0
39,404,1.31988525390625,0
41,404,1.2938976287841797,0
40,404,1.5816688537597656,0
42,404,1.3530254364013672,0
43,404,1.3780593872070312,0
44,404,1.4197826385498047,0
45,404,1.2507438659667969,0
46,404,1.2891292572021484,0
47,404,1.4667510986328125,0
48,404,1.1620521545410156,0
49,404,1.2359619140625,0
50,404,1.2211799621582031,0
